ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",203,"Ames, IA","16000US1901855","ames-ia",575,0.008709086227526771
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",398.20848810641894,"Ames, IA","16000US1901855","ames-ia",1743,0.026399890947094194
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",107.35455276791944,"Ames, IA","16000US1901855","ames-ia",208,0.0031504172788270756
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",427.99999999999994,"Ames, IA","16000US1901855","ames-ia",52355,0.7940154996435992
0,"White Alone",1,"Hispanic or Latino",2018,"2018",297,"Ames, IA","16000US1901855","ames-ia",1907,0.02892154632452189
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",328,"Ames, IA","16000US1901855","ames-ia",1639,0.024857060527473194
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",64,"Ames, IA","16000US1901855","ames-ia",54,0.0008189635561217526
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",57.99999999999999,"Ames, IA","16000US1901855","ames-ia",125,0.001895748972504057
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",22,"Ames, IA","16000US1901855","ames-ia",0,0
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",450,"Ames, IA","16000US1901855","ames-ia",7057,0.10702640399168904
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",18,"Ames, IA","16000US1901855","ames-ia",15,0.00022748987670048683
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",41,"Ames, IA","16000US1901855","ames-ia",25,0.0003791497945008114
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",22,"Ames, IA","16000US1901855","ames-ia",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",56,"Ames, IA","16000US1901855","ames-ia",45,0.0006824696301014605
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",188,"Ames, IA","16000US1901855","ames-ia",445,0.006748866342114443
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",445.1898471438898,"Ames, IA","16000US1901855","ames-ia",2153,0.03265238030240988
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",79.60527620704548,"Ames, IA","16000US1901855","ames-ia",117,0.0017744210382637973
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",390,"Ames, IA","16000US1901855","ames-ia",52119,0.8017690946850242
0,"White Alone",1,"Hispanic or Latino",2017,"2017",244.99999999999997,"Ames, IA","16000US1901855","ames-ia",1823,0.02804399661564495
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",250.99999999999997,"Ames, IA","16000US1901855","ames-ia",1683,0.0258903161295285
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",47,"Ames, IA","16000US1901855","ames-ia",46,0.0007076378740096916
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",64,"Ames, IA","16000US1901855","ames-ia",157,0.002415198830859165
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",22,"Ames, IA","16000US1901855","ames-ia",0,0
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",458,"Ames, IA","16000US1901855","ames-ia",6649,0.10228443965848781
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",10,"Ames, IA","16000US1901855","ames-ia",6,0.00009230059226213368
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",47,"Ames, IA","16000US1901855","ames-ia",30,0.0004615029613106684
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",15.000000000000002,"Ames, IA","16000US1901855","ames-ia",9,0.00013845088839320053
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",23,"Ames, IA","16000US1901855","ames-ia",14,0.00021536804861164527
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",104,"Ames, IA","16000US1901855","ames-ia",316,0.004861164525805707
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",445.2201702528761,"Ames, IA","16000US1901855","ames-ia",2083,0.03204368894700408
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",45,"Ames, IA","16000US1901855","ames-ia",70,0.0010768402430582262
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",391,"Ames, IA","16000US1901855","ames-ia",51907,0.8101228286485728
0,"White Alone",1,"Hispanic or Latino",2016,"2016",273,"Ames, IA","16000US1901855","ames-ia",1625,0.02536169681457088
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",299,"Ames, IA","16000US1901855","ames-ia",1870,0.029185460334306183
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",99,"Ames, IA","16000US1901855","ames-ia",124,0.0019352925569272549
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",70,"Ames, IA","16000US1901855","ames-ia",123,0.0019196853588875188
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",22,"Ames, IA","16000US1901855","ames-ia",0,0
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",394,"Ames, IA","16000US1901855","ames-ia",6142,0.09585941036005806
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",8,"Ames, IA","16000US1901855","ames-ia",4,0.0000624287921589437
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",34,"Ames, IA","16000US1901855","ames-ia",21,0.00032775115883445447
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",15.000000000000002,"Ames, IA","16000US1901855","ames-ia",8,0.0001248575843178874
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",22,"Ames, IA","16000US1901855","ames-ia",0,0
